Year,Average Temperature (Celsius),Country
1910,13.216499999999998,Afghanistan
1911,13.384999999999998,Afghanistan
1912,13.902666666666667,Afghanistan
1913,13.859250000000001,Afghanistan
1914,14.296833333333332,Afghanistan
1915,14.914583333333335,Afghanistan
1916,13.342999999999996,Afghanistan
1917,13.916500000000005,Afghanistan
1918,13.483250000000004,Afghanistan
1919,13.880916666666666,Afghanistan
1920,13.036499999999998,Afghanistan
1921,14.171583333333336,Afghanistan
1922,14.255499999999998,Afghanistan
1923,13.33891666666667,Afghanistan
1924,13.629000000000003,Afghanistan
1925,13.931750000000001,Afghanistan
1926,13.745333333333333,Afghanistan
1927,13.844583333333333,Afghanistan
1928,13.633000000000003,Afghanistan
1929,13.48175,Afghanistan
1930,13.330583333333337,Afghanistan
1931,13.447500000000003,Afghanistan
1932,13.66466666666667,Afghanistan
1933,13.882916666666665,Afghanistan
1934,13.341416666666667,Afghanistan
1935,13.29625,Afghanistan
1936,14.007416666666666,Afghanistan
1937,13.571583333333335,Afghanistan
1938,14.211250000000001,Afghanistan
1939,14.161916666666665,Afghanistan
1940,14.734,Afghanistan
1941,15.50275,Afghanistan
1942,14.451166666666667,Afghanistan
1943,13.707833333333332,Afghanistan
1944,14.291750000000002,Afghanistan
1945,13.86625,Afghanistan
1946,14.594666666666667,Afghanistan
1947,15.035083333333334,Afghanistan
1948,14.335250000000002,Afghanistan
1949,13.350083333333332,Afghanistan
1950,13.0435,Afghanistan
1951,13.96775,Afghanistan
1952,14.175416666666669,Afghanistan
1953,14.650750000000002,Afghanistan
1954,13.691333333333333,Afghanistan
1955,14.642583333333334,Afghanistan
1956,14.191083333333333,Afghanistan
1957,12.777166666666666,Afghanistan
1958,14.716750000000003,Afghanistan
1959,14.152583333333332,Afghanistan
1960,13.985416666666667,Afghanistan
1961,14.064916666666667,Afghanistan
1962,13.768666666666666,Afghanistan
1963,15.033416666666666,Afghanistan
1964,13.084916666666667,Afghanistan
1965,14.101833333333333,Afghanistan
1966,14.342999999999998,Afghanistan
1967,13.663250000000003,Afghanistan
1968,13.762333333333332,Afghanistan
1969,13.805083333333336,Afghanistan
1970,14.78308333333333,Afghanistan
1971,14.823500000000001,Afghanistan
1972,12.547166666666667,Afghanistan
1973,14.235500000000004,Afghanistan
1974,13.316749999999999,Afghanistan
1975,13.548083333333333,Afghanistan
1976,13.708583333333332,Afghanistan
1977,14.805416666666668,Afghanistan
1978,14.329666666666668,Afghanistan
1979,14.262083333333335,Afghanistan
1980,14.887333333333332,Afghanistan
1981,14.860083333333334,Afghanistan
1982,13.733083333333335,Afghanistan
1983,14.614833333333335,Afghanistan
1984,14.245833333333332,Afghanistan
1985,14.888749999999996,Afghanistan
1986,14.223166666666666,Afghanistan
1987,14.983999999999996,Afghanistan
1988,15.388999999999998,Afghanistan
1989,14.125750000000002,Afghanistan
1990,14.993333333333332,Afghanistan
1991,14.370750000000001,Afghanistan
1992,14.056083333333333,Afghanistan
1993,14.439249999999996,Afghanistan
1994,14.75475,Afghanistan
1995,14.859166666666667,Afghanistan
1996,14.426000000000002,Afghanistan
1997,14.904000000000002,Afghanistan
1998,15.1325,Afghanistan
1999,15.38875,Afghanistan
2000,15.497833333333334,Afghanistan
2001,15.778083333333333,Afghanistan
2002,15.537666666666668,Afghanistan
2003,14.916000000000002,Afghanistan
2004,15.77091666666667,Afghanistan
2005,14.979999999999999,Afghanistan
2006,15.595583333333332,Afghanistan
2007,15.106166666666669,Afghanistan
2008,15.216500000000002,Afghanistan
2009,15.257749999999996,Afghanistan
2010,15.828666666666669,Afghanistan
2011,15.518,Afghanistan
2012,14.481583333333333,Afghanistan
1910,12.664833333333332,Albania
1911,12.483583333333334,Albania
1912,12.057833333333335,Albania
1913,12.352166666666667,Albania
1914,12.015833333333333,Albania
1915,12.690416666666664,Albania
1916,13.550166666666668,Albania
1917,12.684166666666668,Albania
1918,12.731249999999998,Albania
1919,12.320500000000001,Albania
1920,12.6975,Albania
1921,12.510999999999997,Albania
1922,12.670499999999999,Albania
1923,13.31333333333333,Albania
1924,12.551999999999998,Albania
1925,12.690666666666665,Albania
1926,13.252500000000003,Albania
1927,13.618416666666667,Albania
1928,12.89708333333333,Albania
1929,12.023000000000001,Albania
1930,13.206833333333336,Albania
1931,12.661499999999998,Albania
1932,12.583666666666666,Albania
1933,12.010583333333335,Albania
1934,13.524,Albania
1935,12.942749999999998,Albania
1936,13.118333333333334,Albania
1937,13.253749999999998,Albania
1938,12.614333333333333,Albania
1939,13.05775,Albania
1940,11.582500000000001,Albania
